kana,kanji,rank
えきいん,駅員,6000
えきたい,液体,6000
えきまえ,駅前,6000
えさ,餌,6000
えだ,枝,2000
えのぐ,絵具,6000
えはがき,絵葉書,6000
えび,,6000
えほん,絵本,6000
えらい,偉,2000
えらぶ,選,2000
えり,衿,6000
える,得,6000
えん,円,2000
えんかい,宴会,6000
えんかつ,円滑,6000
えんがわ,縁側,6000
えんがん,沿岸,6000
えんき,延期,6000
えんぎ,演技,6000
えんげい,園芸,6000
えんげき,演劇,6000
えんしゅう,演習,6000
えんしゅつ,演出,6000
えんじょ,援助,6000
えんじる,演,6000
えんぜつ,演説,6000
えんそう,演奏,6000
えんそく,遠足,6000
えんだん,縁談,6000
えんちょう,延長,6000
えんとつ,煙突,6000
えんぴつ,鉛筆,2000
えんりょ,遠慮,2000
お,御,2000
おい,甥,6000
おいかける,追駆,6000
おいこす,追越,6000
おいしい,,2000
おいだす,追出,6000
おいつく,追付,6000
おいで,,6000
おう,追,2000
おうえん,応援,6000
おうじる,応,6000
おうせつ,応接,6000
おうたい,応対,6000
おうだん,横断,6000
おうふく,往復,2000
おうべい,欧米,6000
おうぼ,応募,6000
おうよう,応用,2000
おえる,終,6000
おお,大,6000
おおあめ,大雨,6000
おおい,多,2000
おおいそぎ,大急,6000
おおがた,大型,6000
おおき,大,2000
おおく,多,6000
おおくら,大蔵,6000
おおげさ,大袈裟,6000
おおごえ,大声,6000
おおざっぱ,大雑把,6000
おおぜい,大勢,2000
おおどおり,大通,6000
おおはば,大幅,6000
おおみず,大水,6000
おおや,大家,6000
おおよろこび,大喜,6000
おか,丘,6000
おかあさま,,2000
おかえり,,2000
おかえりなさい,,2000
おかげ,,2000
おかげさまで,,6000
おかしい,,2000
おかす,犯,6000
おかず,,6000
おがむ,拝,6000
おき,沖,6000
おきなわ,沖縄,6000
おきる,起,2000
おぎなう,補,6000
おく,奥,2000
おくさま,奥様,2000
おくじょう,屋上,6000
おくびょう,臆病,6000
おくらす,遅,6000
おくりがな,送仮名,6000
おくりもの,贈物,2000
おくる,送・贈,2000
おくれ,遅,2000
おくれる,遅,6000
おこす,起,2000
おこなう,行,2000
おこる,怒,2000
おごそか,,6000
おさえる,押,2000
おさない,幼,6000
おさまる,治・収,6000
おさめる,収・納・治,6000
おしい,惜,2000
おしいれ,押入,6000
おしえ,教,6000
おしえる,教,2000
おしむ,惜,6000
おしゃべり,,6000
おしろい,白粉,6000
おじ,伯父・叔父,2000
おじいさん,,2000
おじぎ,御辞儀,2000
おじさん,伯父・叔父・小父,2000
おじょうさん,嬢,6000
おす,押,2000
おせじ,御世辞,6000
おそい,遅,2000
おそう,襲,6000
おそらく,恐,6000
おそれ,恐,6000
おそれる,恐,2000
おそろしい,恐,2000
おそわる,教,6000
おだてる,,6000
おだやか,穏,6000
おちつき,落着,6000
おちつく,落着,6000
おちば,落葉,6000
おちる,落,2000
おっしゃる,,2000
おっと,夫,2000
おてつだいさん,手伝,6000
おと,音,2000
おとうさま,父,2000
おとうと,弟,2000
おとこ,男,2000
おとこのこ,男子,6000
おとこらしい,男,6000
おとしもの,落物,6000
おとす,落,2000
おとずれる,訪,6000
おととい,一昨日,2000
おととし,一昨年,6000
おとな,大人,2000
おとなしい,,2000
おとる,劣,6000
おとろえる,衰,6000
おどかす,,6000
おどり,踊,6000
おどる,踊,2000
おどろかす,驚,6000
おどろき,驚,6000
おどろく,驚,2000
おなか,,2000
おなじ,同,2000
おに,鬼,6000
おのおの,各々,6000
おはよう,,2000
おば,伯母・叔母,2000
おばあさん,,2000
おばさん,伯母・叔母・小母,2000
おび,帯,6000
おぼえ,覚,6000
おぼえる,覚,2000
おぼれる,溺,6000
おまいり,参,6000
おまえ,御前,6000
おまけ,,6000
おまわりさん,,6000
おめでとう,,2000
おめにかかる,目掛,6000
おも,主,2000
おもい,重,2000
おもいがけない,思掛,6000
おもいきり,思切,6000
おもいきる,思切,6000
おもいこむ,思込,6000
おもいだす,思出,2000
おもいつき,思,6000
おもいつく,思,6000
おもいで,思出,2000
おもう,思,2000
おもさ,重,6000
おもしろい,面白,2000
おもたい,重,6000
おもちゃ,,2000
おもて,表,2000
おもむき,趣,6000
おもわず,思,6000
おや,親,2000
おやこ,親子,2000
おやすみ,,2000
おやすみなさい,,2000
おやつ,,6000
おやゆび,親指,6000
およぐ,泳,2000
およそ,,2000
および,及,2000
およぶ,及,6000
おり,折,6000
おりもの,織物,6000
おりる,降,2000
おる,,2000
おれ,俺,6000
おれる,折,2000
おろか,愚,6000
おろす,降・卸,2000
おろそか,,6000
おわり,終,2000
おわる,終,2000
おん,御,2000
おんがく,音楽,2000
おんせい,音声,6000
おんせつ,音節,6000
おんせん,温泉,2000
おんたい,温帯,6000
おんちゅう,御中,6000
おんど,温度,2000
おんな,女,2000
おんなのこ,女子,6000
おんならしい,女,6000
おんぶ,,6000
か,火曜/火,2000
かい,会,2000
かいいん,会員,6000
かいかい,開会,6000
かいかく,改革,6000
かいが,絵画,6000
かいがい,海外,6000
かいがん,海岸,2000
かいきゅう,階級,6000
かいきょう,海峡,6000
かいぎ,会議,2000
かいぐん,海軍,6000
かいけい,会計,6000
かいけつ,解決,6000
かいけん,会見,6000
かいごう,会合,6000
かいさい,開催,6000
かいさん,解散,6000
かいし,開始,6000
かいしゃ,会社,2000
かいしゃく,解釈,2000
かいじょう,会場,2000
かいすいよく,海水浴,6000
かいすう,回数,6000
かいすうけん,回数券,6000
かいせい,快晴,6000
かいせつ,解説,6000
かいぜん,改善,6000
かいたく,開拓,6000
かいだん,階段,2000
かいちょう,会長,6000
かいてん,回転,6000
かいとう,回答・解答,6000
かいはつ,開発,6000
かいふく,回復,6000
かいほう,解放,6000
かいもの,買物,2000
かいりゅう,海流,6000
かいりょう,改良,6000
かいわ,会話,2000
かう,買,2000
かえす,返・帰,2000
かえって,却,2000
かえり,帰,6000
かえりみる,顧・省,6000
かえる,変・換・代,2000
かお,顔,2000
かおいろ,顔色,6000
かおく,家屋,6000
かおだち,顔立,6000
かおつき,顔付,6000
かおり,香,6000
かかえる,,6000
かかく,価格,6000
かかげる,掲,6000
かかと,,6000
かかり,係,2000
かかる,掛・罹,2000
かかわる,,6000
かがく,化学,2000
かがくしゃ,科学者,6000
かがみ,鏡,2000
かがやく,輝,6000
かき,柿,6000
かきかた,書方,6000
かきことば,書言葉,6000
かきとめ,書留,6000
かきとり,書取,6000
かきとる,書取,6000
かきなおす,書直,6000
かきね,垣根,6000
かきまわす,掻回,6000
かぎ,鍵,2000
かぎり,限,6000
かぎる,限,2000
かく,書,2000
かくご,覚悟,6000
かくしゅ,各種,6000
かくしん,革新,6000
かくじ,各自,6000
かくじつ,確実,2000
かくす,隠,2000
かくだい,拡大,6000
かくち,各地,6000
かくてい,確定,6000
かくとく,獲得,6000
かくど,角度,6000
かくにん,確認,6000
かくほ,確保,6000
かくめい,革命,6000
かくりつ,確立,6000
かくれる,隠,2000
かぐ,嗅,2000
かけ,賭,6000
かけあし,駆足,6000
かけい,家計,6000
かけざん,掛算,6000
かける,掛,2000
かげ,陰・影,2000
かげん,加減,6000
かこ,過去,2000
かこう,加工,6000
かこむ,囲,2000
かご,籠,6000
かごう,化合,6000
かさ,傘,2000
かさい,火災,6000
かさなる,重,2000
かさねる,重,2000
かざり,飾,6000
かざる,飾,2000
かざん,火山,6000
かし,菓子,2000
かしこい,賢,2000
かしこまりました,,6000
かしだし,貸出,6000
かしま,貨間,6000
かしゅ,歌手,6000
かしょ,箇所,6000
かじ,火事,2000
かじる,,6000
かす,貸,2000
かすか,,6000
かず,数,2000
かせぐ,稼,6000
かぜ,風,2000
かぞえる,数,2000
かぞく,家族,2000
かた,方,2000
かたい,堅,2000
かたかな,片仮名,2000
かたがた,方々,6000
かたがわ,片側,6000
かたさ,硬,6000
かたち,形,2000
かたづける,片付,2000
かたて,片手,6000
かたな,刀,6000
かたほう,片方,6000
かたまり,塊,6000
かたまる,固,6000
かたみち,片道,6000
かたむく,傾,2000
かたむける,傾,6000
かためる,固,6000
かたよる,片寄,6000
かたる,語,6000
かだい,課題,6000
かち,価値,2000
かちく,家畜,6000
かっこ,括弧,6000
かっこう,格好,2000
かっこく,各国,6000
かって,勝手,6000
かっぱつ,活発,6000
かつ,勝,2000
かつぐ,担,6000
かつじ,活字,6000
かつて,嘗,6000
かつどう,活動,2000
かつやく,活躍,6000
かつよう,活用,6000
かてい,家庭,2000
かど,角,2000
かな,仮名,2000
かない,家内,6000
かなしい,悲,2000
かなしみ,悲,6000
かなしむ,悲,2000
かなづかい,仮名遣,6000
かならず,必,2000
かならずしも,必,6000
かなり,,2000
かなわない,,6000
かに,蟹,6000
かにゅう,加入,6000
かね,金,2000
かねて,,6000
かねもち,金持,2000
かねる,兼,6000
かのう,可能,2000
かのじょ,彼女,2000
かばう,,6000
かばん,,2000
かび,,6000
かびん,花瓶,6000
かぶ,株,6000
かぶき,歌舞伎,6000
かぶしき,株式,6000
かぶせる,被,6000
かぶる,被,2000
