kana,kanji,rank
すむ,住,2000
すもう,相撲,6000
すらすら,,6000
すり,掏模,6000
する,為,2000
すると,,2000
するどい,鋭,2000
すわる,坐,2000
すんぽう,寸法,6000
ず,図,2000
ずいひつ,随筆,6000
ずいぶん,随分,2000
ずうずうしい,,6000
ずっと,,2000
ずつう,頭痛,6000
ずらす,,6000
ずらり,,6000
ずる,感,2000
ずるい,狡,2000
ずるずる,,6000
ずれる,,6000
せ,背,6000
せい,背,2000
せいおん,清音,6000
せいかい,正解,6000
せいかく,正確,2000
せいかつ,生活,2000
せいき,世紀,6000
せいきゅう,請求,6000
せいぎ,正義,6000
せいけつ,清潔,6000
せいけん,政権,6000
せいげん,制限,6000
せいこう,成功,2000
せいさく,制作・製作,6000
せいさん,生産,6000
せいし,生死,6000
せいしき,正式,6000
せいしつ,性質,2000
せいしゅん,青春,6000
せいしょ,清書,6000
せいしん,精神,2000
せいしんびょう,精神病,6000
せいじ,政治,2000
せいじか,政治家,6000
せいじつ,誠実,6000
せいじょう,正常,6000
せいじん,成人,6000
せいせき,成績,2000
せいぜい,精々,6000
せいぞう,製造,2000
せいぞん,生存,6000
せいちょう,成長,2000
せいてつ,製鉄,6000
せいてん,晴天,6000
せいと,生徒,2000
せいとう,政党,2000
せいど,制度,2000
せいねん,青年,2000
せいねんがっぴ,生年月日,6000
せいのう,性能,6000
せいひん,製品,6000
せいふ,政府,2000
せいぶつ,生物,6000
せいぶん,成分,6000
せいほうけい,正方形,6000
せいめい,生命,6000
せいもん,正門,6000
せいよう,西洋,2000
せいようじん,西洋人,6000
せいり,整理,2000
せいりつ,成立,6000
せいりょく,勢力,6000
せいれき,西暦,6000
せおう,背負,6000
せかい,世界,2000
せき,咳,2000
せきじゅうじ,赤十字,6000
せきたん,石炭,2000
せきどう,赤道,6000
せきにん,責任,2000
せきゆ,石油,2000
せけん,世間,6000
せだい,世代,6000
せっかく,折角,2000
せっきょくてき,積極的,6000
せっきん,接近,6000
せっけい,設計,6000
せっけん,石鹸,2000
せっしょく,接触,6000
せっする,接,6000
せっせと,,6000
せっち,設置,6000
せつ,説,6000
せつぞく,接続,6000
せつぞくし,接続詞,6000
せつび,設備,2000
せつめい,説明,2000
せつやく,節約,6000
せつりつ,設立,6000
せともの,瀬戸物,6000
せなか,背中,2000
せびろ,背広,2000
せまい,狭,2000
せまる,迫,6000
せみ,蝉,6000
せめて,,6000
せめる,攻・責,2000
せりふ,,6000
せろん,世論・与論,6000
せわ,世話,2000
せん,千,2000
せんい,繊維,6000
せんきょ,選挙,2000
せんげつ,先月,2000
せんげん,宣言,6000
せんこう,専攻,6000
せんご,戦後,6000
せんざい,洗剤,6000
せんし,戦死,6000
せんしゅ,選手,2000
せんしゅう,先週,2000
せんじつ,先日,6000
せんす,扇子,6000
せんせい,先生,2000
せんぜん,戦前,6000
せんそう,戦争,2000
せんぞ,先祖,6000
せんたく,洗濯,2000
せんたくき,洗濯機,6000
せんだって,先,6000
せんちょう,船長,6000
せんてんてき,先天的,6000
せんでん,宣伝,6000
せんとう,先頭,6000
せんぱい,先輩,6000
せんぷうき,扇風機,6000
せんべい,煎餅,6000
せんめん,洗面,6000
せんめんき,洗面器,6000
せんめんじょ,洗面所,6000
せんもん,専門,2000
せんもんか,専門家,6000
せんりょう,占領,6000
せんろ,線路,6000
ぜい,税,6000
ぜいかん,税関,6000
ぜいきん,税金,2000
ぜいたく,贅沢,2000
ぜったい,絶対,2000
ぜつぼう,絶望,6000
ぜひ,是非,2000
ぜひとも,,6000
ぜん,前,2000
ぜんあく,善悪,6000
ぜんいん,全員,6000
ぜんかい,全快,6000
ぜんき,前期,6000
ぜんこく,全国,2000
ぜんご,前後,6000
ぜんしん,全身,6000
ぜんぜん,全然,2000
ぜんたい,全体,2000
ぜんてい,前提,6000
ぜんはん,前半,6000
ぜんぱん,全般,6000
ぜんぶ,全部,2000
ぜんりょく,全力,6000
そう,相,2000
そうい,相違,6000
そうおん,騒音,6000
そうかい,総会,6000
そうきん,送金,6000
そうこ,倉庫,6000
そうご,相互,6000
そうごう,総合,6000
そうさ,捜査,6000
そうさく,創作,6000
そうしき,葬式,2000
そうして,,6000
そうしょく,装飾,6000
そうじ,掃除,2000
そうじき,掃除機,6000
そうぞう,想像,2000
そうぞうしい,騒々,6000
そうだん,相談,2000
そうち,装置,6000
そうとう,相当,6000
そうどう,騒動,6000
そうば,相場,6000
そうり,総理,6000
そうりだいじん,総理大臣,6000
そうりつ,創立,6000
そえる,添,6000
そくおん,促音,6000
そくしん,促進,6000
そくたつ,速達,6000
そくど,速度,6000
そこ,底,2000
そこで,,2000
そしき,組織,2000
そしつ,素質,6000
そして,,2000
そしょう,訴訟,6000
そせん,祖先,6000
そそぐ,注,6000
そそっかしい,,6000
そだち,育,6000
そだつ,育,2000
そだてる,育,2000
そちら,,2000
そっくり,,6000
そっち,,2000
そっちょく,率直,6000
そっと,,6000
そつぎょう,卒業,2000
そで,袖,6000
そと,外,2000
そとがわ,外側,6000
そなえつける,備付,6000
そなえる,備・具,6000
その,其,2000
そのうえ,,2000
そのうち,,6000
そのほか,,6000
そのまま,,6000
そば,傍,2000
そびえる,聳,6000
そふ,祖父,6000
そぼ,祖母,6000
そぼく,素朴,6000
そまつ,粗末,6000
そむく,背,6000
そめる,染,6000
そら,空,2000
そる,剃,2000
それ,,2000
それから,,2000
それぞれ,,2000
それで,,2000
それでは,,6000
それでも,,6000
それとも,,2000
それなら,,6000
それに,,6000
そろう,揃,2000
そろえる,揃,2000
そろそろ,,6000
そろばん,算盤,6000
そん,損,2000
そんがい,損害,6000
そんけい,尊敬,2000
そんざい,存在,2000
そんしつ,損失,6000
そんちょう,尊重,6000
そんな,,2000
そんなに,,6000
ぞう,象,6000
ぞうか,増加,6000
ぞうきん,雑巾,6000
ぞうげん,増減,6000
ぞうしょう,蔵相,6000
ぞうせん,造船,6000
ぞうだい,増大,6000
ぞうり,草履,6000
ぞくする,属,6000
ぞくぞく,続々,6000
ぞんざい,,6000
ぞんずる,存,6000
た,田,2000
たい,鯛,6000
たいいん,退院,6000
たいおん,体温,6000
たいおんけい,体温計,6000
たいか,大家,6000
たいかい,大会,6000
たいかく,体格,6000
たいがく,退学,6000
たいくつ,退屈,6000
たいぐう,待遇,6000
たいけい,体系,6000
たいけん,体験,6000
たいこ,太鼓,6000
たいこう,対抗,6000
たいさく,対策,6000
たいざい,滞在,6000
たいし,大使,2000
たいしかん,大使館,6000
たいした,大,6000
たいして,大,2000
たいしゅう,大衆,6000
たいしょう,大正・大,6000
たいじゅう,体重,6000
たいする,対,2000
たいせい,体制,6000
たいせいよう,大西洋,6000
たいせつ,大切,2000
たいせん,大戦,6000
たいそう,体操,2000
たいだん,対談,6000
たいてい,大抵,2000
たいとう,対等,6000
たいど,態度,2000
たいどころ,台所,2000
たいふう,台風,2000
たいへいよう,太平洋,6000
たいへん,大変,2000
たいほ,逮捕,6000
たいよう,太陽,2000
たいら,平,2000
たいりく,大陸,6000
たいりつ,対立,6000
たいりょう,大量,6000
たいりょく,体力,6000
たいわん,台湾,6000
たうえ,田植,6000
たえず,絶,6000
たえる,耐,6000
たおす,倒,2000
たおれる,倒,2000
たか,鷹,6000
たかい,高,2000
たかさ,高,6000
たかまる,高,6000
たかめる,高,6000
たから,宝,6000
たがい,互,2000
たがやす,耕,6000
たき,滝,6000
たきび,焚火,6000
たく,焚・炊,2000
たくさん,,2000
たくましい,,6000
たくみ,巧,6000
たくわえる,蓄,6000
たけ,竹,6000
たこ,蛸,6000
たしか,確,2000
たしかめる,確,2000
たしざん,足算,6000
たしょう,多少,6000
たす,足,2000
たすう,多数,6000
たすかる,助,6000
たすける,助,2000
たずねる,尋・訪,2000
たたかい,戦,6000
たたかう,戦,2000
たたく,叩,2000
たたみ,畳,2000
たたむ,畳,2000
ただ,只,2000
ただいま,只今,2000
ただし,但,6000
ただしい,正,2000
ただち,直,6000
ただよう,漂,6000
たちあがる,立上,6000
たちさる,立去,6000
たちどまる,立止,6000
たちば,立場,2000
たちまち,,6000
たちよる,立寄,6000
たっする,達,6000
たった,唯,6000
たっぷり,,6000
たつ,立・建,2000
たて,縦,2000
たてかえる,立替,6000
たてがき,縦書,6000
たてまえ,建前,6000
たてもの,建物,2000
たてる,立・建,2000
たとえ,,2000
たとえば,,2000
たとえる,,6000
たな,棚,2000
たに,谷,2000
たにん,他人,2000
たぬき,,6000
たね,種,2000
たのしい,楽,2000
たのしみ,楽,6000
たのしむ,楽,2000
たのみ,頼,6000
たのむ,頼,2000
たのもしい,頼,6000
たば,束,2000
たび,度,2000
たびたび,,2000
たぶん,多分,2000
たべもの,食物,2000
たべる,食,2000
たぼう,多忙,6000
たま,玉・弾,2000
たまご,卵,2000
たましい,魂,6000
たまたま,,6000
たまねぎ,,6000
たまらない,,6000
たまる,溜,2000
ため,為,2000
ためいき,溜息,6000
ためし,試,6000
ためす,試,2000
ためらう,,6000
ためる,溜・貯,2000
たもつ,保,6000
たやすい,,6000
たより,便,6000
たよる,頼,2000
たりょう,多量,6000
たりる,足,2000
たる,足,6000
たん,単,6000
たんい,単位,6000
たんか,短歌,6000
たんき,短気,6000
たんけん,探険,6000
たんこう,炭坑,6000
たんご,単語,2000
たんしゅく,短縮,6000
たんしょ,短所,6000
たんじゅん,単純,6000
たんじょう,誕生,2000
たんじょうび,誕生日,2000
たんす,,2000
たんそ,炭素,6000
たんちょう,単調,6000
たんとう,担当,6000
たんなる,単,6000
たんぱくしつ,蛋白質,6000
たんぼ,田,6000
だい,台,2000
だいいち,第一,6000
だいがく,大学,2000
だいがくせい,大学生,6000
だいきん,代金,6000
だいく,大工,6000
だいこん,大根,6000
だいしょう,大小,6000
だいじ,大事,2000
だいじょうぶ,大丈夫,2000
だいじん,大臣,2000
だいず,大豆,6000
だいたい,大体,2000
だいたん,大胆,6000
だいとうりょう,大統領,6000
だいなし,台無,6000
だいひょう,代表,2000
だいぶ,大分,2000
だいぶぶん,大部分,6000
だいぶん,大分,2000
だいべん,大便,6000
だいめい,題名,6000
だいめいし,代名詞,6000
だいよう,代用,6000
だいり,代理,6000
だから,,2000
だが,,6000
だきょう,妥協,6000
だく,抱,2000
だくおん,濁音,6000
だけつ,采結,6000
だげき,打撃,6000
だす,出,2000
だっこ,抱,6000
だったい,脱退,6000
だって,,6000
だとう,妥当,6000
だぶだぶ,,6000
だます,,2000
だまる,黙,2000
だめ,駄目,2000
だらしない,,6000
だれ,誰,2000
だれか,誰,2000
だん,段,6000
だんかい,段階,6000
だんけつ,団結,6000
だんし,男子,6000
だんじょ,男女,6000
だんせい,男性,2000
だんせいてき,男性的,6000
だんたい,団体,2000
だんだん,,2000
だんち,団地,6000
だんてい,断定,6000
だんぼう,暖房,6000
ち,血,2000
ちい,地位,6000
ちいき,地域,6000
ちいさ,小,2000
ちえ,知恵・智慧,6000
ちか,地下,6000
ちかい,近,2000
ちかう,誓,6000
ちかく,近,2000
ちかごろ,近頃,6000
ちかづく,近付,2000
ちかづける,近付,6000
ちかてつ,地下鉄,2000
ちかどう,地下道,6000
ちかみち,近道,6000
ちかよる,近寄,2000
ちから,力,2000
ちからづよい,力強,6000
ちがい,違,2000
ちがいない,違,6000
ちがう,違,2000
ちきゅう,地球,2000
ちぎる,,6000
ちくせき,蓄積,6000
ちけい,地形,6000
ちこく,遅刻,6000
ちしき,知識,2000
ちじ,知事,6000
ちじょう,地上,6000
ちじん,知人,6000
ちず,地図,2000
ちたい,地帯,6000
ちち,父,2000
ちちおや,父親,6000
ちぢまる,縮,6000
ちぢむ,縮,6000
ちぢめる,縮,6000
ちっとも,,2000
ちつじょ,秩序,6000
ちてき,知的,6000
ちのう,知能,6000
ちほう,地方,2000
ちめい,地名,6000
ちゃ,茶,2000
ちゃいろ,茶色,2000
ちゃくしゅ,着手,6000
ちゃくしょく,着色,6000
ちゃくせき,着席,6000
ちゃくちゃく,着々,6000
ちゃくりく,着陸,6000
ちゃのま,茶間,6000
ちゃわん,茶碗,2000
ちゃん,,2000
ちゃんと,,2000
ちゅう,中,2000
ちゅうい,注意,2000
ちゅういぶかい,注意深,6000
ちゅうおう,中央,2000
ちゅうかん,中間,6000
ちゅうがく,中学,6000
ちゅうがくせい,中学生,6000
ちゅうがっこう,中学校,2000
ちゅうきゅう,中級,6000
ちゅうこく,忠告,6000
ちゅうごく,中国,6000
ちゅうごくご,中国語,6000
ちゅうごくじん,中国人,6000
ちゅうし,中止,2000
ちゅうしゃ,注射,2000
ちゅうしゃじょう,駐車場,6000
ちゅうしょう,中傷,6000
ちゅうしょうてき,抽象的,6000
ちゅうしょく,昼食,6000
ちゅうしん,中心,2000
ちゅうじつ,忠実,6000
ちゅうじゅん,中旬,6000
ちゅうせい,中世,6000
ちゅうと,中途,6000
ちゅうどく,中毒,6000
ちゅうねん,中年,6000
ちゅうもく,注目,6000
ちゅうもん,注文,2000
ちゅうりつ,中立,6000
ちゅうわ,中和,6000
ちょう,庁,6000
ちょういん,調印,6000
ちょうおん,長音,6000
ちょうか,超過,6000
ちょうかん,朝刊,6000
ちょうき,長期,6000
ちょうこく,彫刻,6000
ちょうさ,調査,6000
ちょうし,調子,2000
ちょうしょ,長所,2000
ちょうしょく,朝食,6000
ちょうじょ,長女,6000
ちょうじょう,頂上,6000
ちょうせい,調整,6000
ちょうせつ,調節,6000
ちょうせん,朝鮮,6000
ちょうだい,頂戴,6000
ちょうど,,2000
ちょうなん,長男,6000
ちょうほう,重宝,6000
ちょうほうけい,長方形,6000
ちょうみりょう,調味料,6000
ちょうわ,調和,6000
ちょきん,貯金,2000
ちょくせつ,直接,2000
ちょくせん,直線,6000
ちょしゃ,著者,6000
ちょしょ,著書,6000
ちょちく,貯蓄,6000
ちょっかく,直角,6000
ちょっけい,直径,6000
ちょっと,,2000
ちらかす,散,6000
ちらす,散,6000
ちり,地理,2000
ちりがみ,塵紙,6000
ちりょう,治療,6000
ちる,散,2000
ちんぎん,賃金,6000
ちんぼつ,沈没,6000
ちんもく,沈黙,6000
ちんれつ,陳列,6000
ぢゅう,中,6000
つい,遂,2000
ついか,追加,6000
ついたち,一日,2000
ついで,序,2000
ついほう,追放,6000
ついやす,費,6000
ついらく,墜落,6000
つうか,通過,2000
つうがく,通学,2000
つうきん,通勤,6000
つうこう,通行,6000
つうしん,通信,6000
つうじょう,通常,6000
つうじる,通,6000
つうち,通知,6000
つうやく,通訳,6000
つうよう,通用,6000
つえ,杖,6000
つかい,使,6000
つかう,使,2000
つかまえる,捕,2000
つかまる,捕,6000
つかむ,掴,2000
つかれ,疲,6000
つかれる,疲,2000
つき,月,2000
つきあい,付合,6000
つきあう,付合,6000
つきあたる,突当,6000
つきひ,月日,6000
つきる,尽,6000
つぎ,次,2000
つぎつぎ,次々,6000
つく,付・着・就・点,2000
つくえ,机,2000
つくす,尽,6000
つくづく,,6000
つくり,旁,6000
つくりあげる,作上,6000
つくる,作,2000
つぐ,次,6000
つけくわえる,付加,6000
つけもの,漬物,2000
つける,付・着,2000
つげる,告,6000
つごう,都合,2000
つたう,伝,6000
つたえる,伝,2000
つたわる,伝,6000
つち,土,2000
つっこむ,突込,6000
つつ,筒,6000
つつく,突,6000
つつしむ,謹,6000
つつみ,包,6000
つつむ,包,2000
つづき,続,6000
つづく,続,2000
つづける,続,2000
つとめ,勤・務,6000
つとめさき,勤先,6000
つとめる,勤・努,2000
つな,綱,6000
つながり,繋,6000
つながる,繋,6000
つなぐ,繋,2000
つなみ,津波,6000
つね,常,2000
つば,唾,6000
つばさ,翼,6000
つばめ,燕,6000
つぶ,粒,2000
つぶす,潰,6000
つぶやく,呟,6000
つぶる,,6000
つぶれる,潰,2000
つぼ,壷,6000
つぼみ,蕾,6000
つま,妻,2000
つまずく,,6000
つまむ,,6000
つまらない,,2000
つまり,,2000
つまる,詰,6000
つみ,罪,2000
つむ,積,2000
つめ,爪,2000
つめたい,冷,2000
つめる,詰,2000
つもり,,2000
つもる,積,6000
つや,艶,6000
つゆ,梅雨,2000
つよい,強,2000
つよき,強気,6000
つよさ,強,6000
つよまる,強,6000
つよめる,強,6000
つらい,,2000
つらぬく,貫,6000
つらねる,連,6000
つり,釣,6000
つりあう,釣合,6000
つる,鶴,6000
つるす,釣・吊,6000
つれ,連,6000
つれる,連,2000
づらい,,2000
て,手,2000
てあし,手足,6000
てあて,手当,6000
てあらい,手洗,6000
てい,低,6000
ていあん,提案,6000
ていいん,定員,6000
ていか,低下,6000
ていき,定期,6000
ていきけん,定期券,6000
ていきゅうび,定休日,6000
ていきょう,提供,6000
ていこう,抵抗,6000
ていさい,体裁,6000
ていし,停止,6000
ていしゃ,停車,6000
ていしゅつ,提出,6000
ていしょく,定食,6000
ていせい,訂正,2000
ていでん,停電,6000
ていど,程度,2000
ていねい,丁寧,2000
ていりゅうじょ,停留所,6000
ていれ,手入,6000
てがかり,手掛,6000
てがみ,手紙,2000
てがる,手軽,6000
てき,敵,2000
てきぎ,適宜,6000
てきする,適,6000
てきせつ,適切,6000
てきとう,適当,2000
てきよう,適用,6000
てぎわ,手際,6000
てくび,手首,6000
てじな,手品,6000
てすう,手数,6000
てちょう,手帳,6000
てっきょう,鉄橋,6000
てってい,徹底,6000
てっていてき,徹底的,6000
てっぽう,鉄砲,6000
てつ,鉄,2000
てつがく,哲学,6000
てつだい,手伝,6000
てつだう,手伝,2000
てつづき,手続,6000
てつどう,鉄道,2000
てつや,徹夜,6000
てぬぐい,手拭,6000
てのひら,掌,6000
てびき,手引,6000
てぶくろ,手袋,2000
てほん,手本,6000
てまえ,手前,6000
てもと,手元,6000
てら,寺,2000
てらす,照,2000
てる,照,2000
てん,点,2000
てんいん,店員,6000
てんかい,展開,6000
てんき,天気,2000
てんけい,典型,6000
てんこう,天候,6000
てんごく,天国,6000
てんさい,天才,6000
てんじょう,天井,2000
てんすう,点数,6000
てんねん,天然,6000
てんのう,天皇,2000
てんらんかい,展覧会,6000
で,,2000
であう,出会,6000
でいり,出入,6000
でいりぐち,出入口,6000
でかける,出掛,2000
できあがり,出来上,6000
できあがる,出来上,6000
できごと,出来事,6000
できる,出来,2000
できるだけ,出来,6000
でぐち,出口,2000
でこぼこ,,6000
でし,弟子,6000
ですから,,2000
でたらめ,,6000
では,,2000
でむかえ,出迎,6000
でも,,2000
でる,出,2000
でんえん,田園,6000
でんき,電気,2000
でんきゅう,電球,6000
でんし,電子,6000
でんしゃ,電車,2000
でんせつ,伝説,6000
でんせん,伝染,6000
でんち,電池,6000
でんちゅう,電柱,6000
でんとう,電燈,2000
でんぱ,電波,6000
でんぽう,電報,2000
でんりゅう,電流,6000
でんりょく,電力,6000
でんわ,電話,2000
でんわちょう,電話帳,6000
と,戸,2000
とい,問,2000
とう,問,6000
とうあん,答案,6000
とういつ,統一,6000
とうかいどう,東海道,6000
とうき,陶器,6000
とうけい,統計,6000
とうげ,峠,6000
とうこう,登校,6000
とうざい,東西,6000
とうし,投資,6000
とうしょ,投書,6000
とうじ,当時,6000
とうじつ,当日,6000
とうじょう,登場,6000
とうせい,統制,6000
とうせん,当選,6000
とうぜん,当然,2000
とうたつ,到達,6000
とうだい,燈台,6000
とうちゃく,到着,2000
とうてい,到底,6000
とうとい,貴,6000
とうとう,到頭,2000
とうとぶ,尊,6000
とうにん,当人,6000
とうひょう,投票,6000
とうふ,豆腐,6000
とうぶん,当分,6000
とうほく,東北,6000
とうめい,透明,6000
とうよう,東洋,2000
とうようかんじ,当用漢字,6000
とうろく,登録,6000
とお,十,2000
とおい,遠,2000
とおか,十日,2000
とおく,遠,2000
とおざかる,遠,6000
とおす,通,2000
とおり,通,2000
とおりかかる,通,6000
とおりすぎる,通過,6000
とおる,通,2000
とかい,都会,2000
とかく,,6000
とかす,溶,6000
とがる,尖,6000
とき,時,2000
ときとぎ,時々,2000
とく,解,2000
とくい,得意,6000
とくしゅ,特殊,6000
とくしょく,特色,6000
とくちょう,特徴,2000
とくてい,特定,6000
とくべつ,特別,2000
とくゆう,特有,6000
とぐ,研,6000
とけい,時計,2000
とけこむ,溶込,6000
とける,溶・解,2000
とげる,遂,6000
とこのま,床間,6000
とこや,床屋,6000
ところ,所,2000
ところが,,2000
ところで,,2000
ところどころ,所々,6000
とざん,登山,6000
とし,年,2000
としうえ,年上,6000
としごろ,年頃,6000
としした,年下,6000
としつき,年月,6000
としとった,年取,6000
としょ,図書,6000
としょかん,図書館,2000
としょしつ,図書室,6000
としより,年寄,2000
としん,都心,6000
とじまり,戸締,6000
とじる,閉,2000
とたん,途端,6000
とだな,戸棚,2000
とち,土地,2000
とちゅう,途中,2000
とっきゅう,特急,6000
とっく,,6000
とっさ,咄嗟,6000
とっぱ,突破,6000
とつぜん,突然,2000
とても,,2000
ととのう,整,6000
ととのえる,整,6000
とどく,届,2000
とどけ,届,6000
とどける,届,2000
とない,都内,6000
となり,隣,2000
となりあわせ,隣合,6000
とにかく,,2000
とばす,飛,6000
とびあがる,飛上,6000
とびこむ,突込,6000
とびだす,飛出,6000
とびら,扉,6000
とぶ,飛,2000
とほ,徒歩,6000
とぼしい,乏,6000
とまる,止・泊,2000
とむ,富,6000
とめる,止・泊,2000
とも,友,6000
ともかく,,6000
ともかせぎ,共稼,6000
ともだち,友達,2000
ともなう,伴,6000
とら,虎,6000
とらえる,捕,6000
とり,鳥,2000
とりあえず,,6000
とりあげる,取上,6000
とりあつかい,取扱,6000
とりあつかう,取扱,6000
とりいれる,取入,6000
とりかえる,取換,2000
とりくむ,取組,6000
とりけす,取消,6000
とりしまり,取締,6000
とりしまる,取締,6000
とりだす,取出,6000
とりつける,取付,6000
とりひき,取引,6000
とりまく,取巻,6000
とりもどす,取戻,6000
とる,取・採・撮,2000
とれる,取,6000
とんだ,,6000
とんでもない,,6000
とんぼ,,6000
とんや,問屋,6000
ど,度,2000
どう,如何,2000
どうい,同意,6000
どういたしまして,,2000
どういつ,同一,6000
どうか,,2000
どうかん,同感,6000
どうき,動機,6000
どうぐ,道具,2000
どうさ,動作,6000
どうし,同士,6000
どうして,,2000
どうしても,,2000
どうじ,同時,2000
どうじょう,同情,2000
どうせ,,6000
どうせい,同性,6000
どうぞ,,2000
どうとく,道徳,6000
どうどう,堂々,6000
どうにか,,6000
どうふう,同封,6000
どうぶつ,動物,2000
どうぶつえん,動物園,6000
どうめい,同盟,6000
どうも,,2000
どうやら,,6000
どうよう,同様,6000
どうりょく,動力,6000
どうろ,道路,2000
どうわ,童話,6000
どきどき,,6000
どく,毒,6000
どくさい,独裁,6000
どくしゃ,読者,6000
どくしょ,読書,2000
どくしん,独身,6000
どくせん,独占,6000
どくとく,独特,6000
どくりつ,独立,2000
どける,退,6000
どこ,何処,2000
どこか,,2000
どころか,,6000
どちら,,2000
どっち,,2000
どっと,,6000
どて,土手,6000
どなた,,2000
どなる,,6000
どの,,2000
どのくらい,,6000
どのへん,,6000
どよう,土曜・土,2000
どりょく,努力,2000
どれ,,2000
どろ,泥,6000
どろぼう,泥棒,2000
どんかん,鈍感,6000
どんどん,,2000
どんな,,2000
どんなに,,6000
どんぶり,丼,6000
な,名,6000
ない,無,2000
ないか,内科,6000
ないかく,内閣,6000
ないしょ,内緒,6000
ないしん,内心,6000
ないぞう,内臓,6000
ないぶ,内部,6000
ないよう,内容,2000
なえ,苗,6000
なお,,2000
なおさら,尚更,6000
なおす,直・治,2000
なおる,直・治,2000
なか,中,2000
なかなおり,仲直,6000
なかなか,,2000
なかば,半,6000
なかま,仲間,2000
なかみ,中味,6000
なかゆび,中指,6000
なかよく,仲良,6000
なが,長,6000
ながい,長,2000
ながいき,長生,6000
ながさ,長,2000
ながす,流,2000
ながびく,長引,6000
ながめ,眺,6000
ながめる,眺,2000
ながれ,流,6000
ながれる,流,2000
なく,泣・鳴,2000
なくす,無,2000
なくなる,無,2000
なぐさめる,慰,6000
なぐる,,6000
なげく,嘆,6000
なげる,投,2000
なこうど,仲人,6000
なごやか,和,6000
なごり,名残,6000
なさけ,情,6000
なさけない,情,6000
なさけぶかい,情深,6000
なさる,,2000
なし,無,6000
なす,茄子,6000
なぜ,,2000
なぜなら,,6000
なぜならば,,6000
なぞ,,6000
なぞなぞ,,6000
なだかい,名高,6000
なだれ,雪崩,6000
なっとく,納得,6000
なつ,夏,2000
なつかしい,懐,2000
なつやすみ,夏休,6000
なづける,名付,6000
なでる,撫,6000
なな,七,2000
ななつ,七,2000
ななめ,斜,2000
なに,何,2000
なにか,何,2000
なにしろ,,6000
なにとなく,何,6000
なにぶん,何分,6000
なにゆえ,何故,6000
なぬか,七日,2000
なのか,七日,2000
なふだ,名札,6000
なべ,鍋,2000
なま,生,2000
なまいき,生意気,6000
なまえ,名前,2000
なまける,怠,6000
なまり,鉛,6000
なみ,波,2000
なみき,並木,6000
なみだ,涙,2000
なめらか,滑,2000
なめる,舐,6000
なやましい,悩,6000
なやみ,悩,6000
なやむ,悩,2000
ならう,習・倣,2000
ならす,鳴,6000
ならびに,並,6000
ならぶ,並,2000
ならべる,並,2000
なる,成・生,2000
なるべく,,2000
なるほど,成程,2000
なれる,慣,2000
なわ,縄,6000
なん,何,2000
なんきょく,南極,6000
なんじゅう,何十,6000
なんぜん,何千,6000
なんだか,何,6000
なんて,,6000
なんでも,何,6000
なんと,何,6000
なんとか,何,6000
なんとなく,何,6000
なんど,何度,6000
なんびゃく,何百,6000
なんべい,南米,6000
なんぼく,南北,6000
に,二,2000
にあう,似合,6000
にいさん,兄,2000
にえる,煮,6000
におい,匂,2000
におう,匂,2000
にかい,二階,6000
にがい,苦,2000
にがす,逃,6000
にがて,苦手,6000
にぎやか,賑,2000
にぎる,握,2000
にく,肉,2000
にくい,憎・難,2000
にくしみ,憎,6000
にくたい,肉体,6000
にくむ,憎,2000
にくらしい,憎,6000
にげだす,逃出,6000
にげる,逃,2000
にこにこ,,2000
にごる,濁,6000
にし,西,2000
にじ,虹,6000
にじむ,滲,6000
にせもの,贋物,6000
にち,日曜・日,2000
にちじ,日時,6000
にちじょう,日常,6000
にちよう,日曜・日,2000
にちようひん,日用品,6000
にっか,日課,6000
にっき,日記,2000
にっこう,日光,2000
にっしょく,日食,6000
にっすう,日数,6000
にっちゅう,日中,6000
にってい,日程,6000
にっぽん,日本,2000
にづくり,荷造,6000
にぶい,鈍,6000
にほん,日本,2000
にほんかい,日本海,6000
にほんご,日本語,2000
にほんじん,日本人,2000
にもかかわらず,,6000
にもつ,荷物,2000
にゅういん,入院,6000
にゅうがく,入学,2000
にゅうこく,入国,6000
にゅうしゃ,入社,6000
にゅうしょう,入賞,6000
にゅうじょう,入場,6000
にゅうじょうけん,入場券,6000
にゅうよく,入浴,6000
にらむ,睨,6000
にる,似,2000
にわ,庭,2000
にわか,俄,6000
にわかあめ,俄雨,6000
にわとり,鶏,2000
にんき,人気,2000
にんぎょう,人形,2000
にんげん,人間,2000
にんしき,認識,6000
にんしん,妊娠,6000
にんじょう,人情,6000
にんじん,人参,6000
にんず,人数,2000
にんずう,人数,2000
にんむ,任務,6000
ぬう,縫,2000
ぬく,抜,2000
ぬぐ,脱,2000
ぬける,抜,6000
ぬすむ,盗,2000
ぬの,布,6000
ぬま,沼,6000
ぬらす,濡,6000
ぬる,塗,2000
ぬるい,,2000
ぬれる,濡,2000
ね,根,6000
ねあがり,値上,6000
ねあげ,値上,6000
ねうち,値打,6000
ねえ,,6000
ねえさん,姉,2000
ねかせる,寝,6000
ねがい,願,2000
ねがう,願,2000
ねぎ,,6000
ねこ,猫,2000
ねさがり,値下,6000
ねさげ,値下,6000
ねじ,,6000
ねじる,,6000
ねずみ,鼠,6000
ねだん,値段,2000
ねっしん,熱心,2000
ねっする,熱,6000
ねったい,熱帯,6000
ねっとう,熱湯,6000
ねつ,熱,2000
ねどこ,寝床,6000
ねびき,値引,6000
